@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
19.599655,0.378617,0.342019,0.084552,0.301901,0.06687,1.038613,0.232965,0.095312,0.183559,0.461722,0.075619,0.183138,0.008689,0.126871,0.011854,0.090857,0.03776,0.051686,0.07575,0.051439,0.057266,0.053332,0.021173,0.053708,0.027886,0.049001,0.039117,0.069883,0.027883,0.06684,0.022387,0.060775,0.022387,0.06684,0.027883,0.069883,0.039117,0.049001,0.027886,0.053708,0.021173,0.053332,0.057266,0.051439,0.07575,0.051686,0.03776,0.090857,0.011854,0.126871,0.008689,0.183138,0.075619,0.461722,0.183559,0.095312,0.232965,1.038613,0.06687,0.301901,0.084552,0.342019,0.378617,0.366074,standing
18.932934,0.298029,0.382481,0.092115,0.371293,0.359295,1.095325,0.397758,0.263722,0.163343,0.372554,0.107656,0.380951,0.172373,0.208851,0.245199,0.129086,0.120604,0.068547,0.055824,0.029835,0.109177,0.10111,0.07089,0.050054,0.046635,0.047648,0.062268,0.055948,0.03464,0.039837,0.038842,0.008231,0.038842,0.039837,0.03464,0.055948,0.062268,0.047648,0.046635,0.050054,0.07089,0.10111,0.109177,0.029835,0.055824,0.068547,0.120604,0.129086,0.245199,0.208851,0.172373,0.380951,0.107656,0.372554,0.163343,0.263722,0.397758,1.095325,0.359295,0.371293,0.092115,0.382481,0.298029,0.407055,standing
18.95467,0.373515,0.584808,0.317404,0.22342,0.50679,0.920393,0.527034,0.197495,0.27996,0.339589,0.383036,0.279317,0.223866,0.121035,0.221856,0.161139,0.082133,0.063394,0.086942,0.069745,0.020927,0.052945,0.048306,0.033039,0.025714,0.040012,0.003413,0.006321,0.018377,0.01251,0.018168,0.007771,0.018168,0.01251,0.018377,0.006321,0.003413,0.040012,0.025714,0.033039,0.048306,0.052945,0.020927,0.069745,0.086942,0.063394,0.082133,0.161139,0.221856,0.121035,0.223866,0.279317,0.383036,0.339589,0.27996,0.197495,0.527034,0.920393,0.50679,0.22342,0.317404,0.584808,0.373515,0.365359,standing
19.166751,0.487483,0.093711,0.160094,0.15383,0.127321,0.418791,0.965958,0.530483,0.242853,0.310865,0.269304,0.08396,0.073974,0.073011,0.077594,0.078661,0.140998,0.058724,0.068736,0.089995,0.079635,0.090906,0.062155,0.057303,0.042592,0.071161,0.075421,0.029279,0.039221,0.049448,0.07813,0.076991,0.07813,0.049448,0.039221,0.029279,0.075421,0.071161,0.042592,0.057303,0.062155,0.090906,0.079635,0.089995,0.068736,0.058724,0.140998,0.078661,0.077594,0.073011,0.073974,0.08396,0.269304,0.310865,0.242853,0.530483,0.965958,0.418791,0.127321,0.15383,0.160094,0.093711,0.487483,0.355954,standing
19.451823,0.307331,0.251298,0.046838,0.138485,0.127691,0.33503,1.051199,0.529546,0.15129,0.109086,0.258599,0.071407,0.258082,0.126407,0.118332,0.131281,0.03098,0.060078,0.033731,0.086424,0.064505,0.060773,0.026848,0.002291,0.025986,0.056957,0.052559,0.02559,0.035733,0.01506,0.03819,0.05192,0.03819,0.01506,0.035733,0.02559,0.052559,0.056957,0.025986,0.002291,0.026848,0.060773,0.064505,0.086424,0.033731,0.060078,0.03098,0.131281,0.118332,0.126407,0.258082,0.071407,0.258599,0.109086,0.15129,0.529546,1.051199,0.33503,0.127691,0.138485,0.046838,0.251298,0.307331,0.38865,standing
18.769482,0.114948,0.17072,0.106491,0.288004,0.273326,0.170429,1.089586,0.249432,0.338243,0.365901,0.214779,0.09265,0.110676,0.235761,0.021973,0.184864,0.090636,0.063388,0.061653,0.07354,0.038547,0.079794,0.080236,0.010151,0.050776,0.019213,0.034126,0.02193,0.030986,0.024182,0.040357,0.066239,0.040357,0.024182,0.030986,0.02193,0.034126,0.019213,0.050776,0.010151,0.080236,0.079794,0.038547,0.07354,0.061653,0.063388,0.090636,0.184864,0.021973,0.235761,0.110676,0.09265,0.214779,0.365901,0.338243,0.249432,1.089586,0.170429,0.273326,0.288004,0.106491,0.17072,0.114948,0.364078,standing
19.311705,0.1568,0.272769,0.225221,0.181009,0.122819,0.365938,0.783316,0.309575,0.38904,0.373097,0.21425,0.140869,0.160132,0.150163,0.082138,0.022884,0.090401,0.14111,0.069011,0.011512,0.0752,0.046016,0.010938,0.049215,0.061999,0.0653,0.054973,0.051235,0.070521,0.05189,0.083583,0.056,0.083583,0.05189,0.070521,0.051235,0.054973,0.0653,0.061999,0.049215,0.010938,0.046016,0.0752,0.011512,0.069011,0.14111,0.090401,0.022884,0.082138,0.150163,0.160132,0.140869,0.21425,0.373097,0.38904,0.309575,0.783316,0.365938,0.122819,0.181009,0.225221,0.272769,0.1568,0.376149,standing
19.346867,0.4129,0.033972,0.202705,0.404214,0.321884,0.249051,0.912154,0.474419,0.1564,0.101616,0.354557,0.065267,0.075371,0.07976,0.027058,0.185928,0.148506,0.039044,0.03774,0.07948,0.063806,0.055961,0.006497,0.017471,0.016899,0.027956,0.020677,0.03205,0.010803,0.012439,0.0131,0.026088,0.0131,0.012439,0.010803,0.03205,0.020677,0.027956,0.016899,0.017471,0.006497,0.055961,0.063806,0.07948,0.03774,0.039044,0.148506,0.185928,0.027058,0.07976,0.075371,0.065267,0.354557,0.101616,0.1564,0.474419,0.912154,0.249051,0.321884,0.404214,0.202705,0.033972,0.4129,0.36925,standing
18.723036,0.125352,0.601569,0.586586,0.465143,0.529358,0.984667,0.42935,0.408176,0.249121,0.20935,0.465934,0.223258,0.099684,0.04701,0.13092,0.114084,0.034907,0.008969,0.048981,0.055018,0.092839,0.030044,0.050417,0.034952,0.054448,0.031564,0.051859,0.020124,0.040253,0.026034,0.031819,0.02625,0.031819,0.026034,0.040253,0.020124,0.051859,0.031564,0.054448,0.034952,0.050417,0.030044,0.092839,0.055018,0.048981,0.008969,0.034907,0.114084,0.13092,0.04701,0.099684,0.223258,0.465934,0.20935,0.249121,0.408176,0.42935,0.984667,0.529358,0.465143,0.586586,0.601569,0.125352,0.403021,standing
19.269298,0.391763,0.242844,0.191776,0.393923,0.215447,0.270566,0.417703,0.519523,0.214099,0.150379,0.113924,0.199876,0.175166,0.106572,0.114829,0.05031,0.028198,0.079582,0.045442,0.003551,0.018454,0.040201,0.00458,0.04159,0.024365,0.023553,0.020517,0.02412,0.024398,0.019985,0.017232,0.034962,0.017232,0.019985,0.024398,0.02412,0.020517,0.023553,0.024365,0.04159,0.00458,0.040201,0.018454,0.003551,0.045442,0.079582,0.028198,0.05031,0.114829,0.106572,0.175166,0.199876,0.113924,0.150379,0.214099,0.519523,0.417703,0.270566,0.215447,0.393923,0.191776,0.242844,0.391763,0.372368,standing
